   3.0000004e+02   6.2203395e+00
   3.0056716e+02   6.3647380e+00
   3.0022689e+02   6.2780989e+00
   4.9009711e+02   6.6227208e+00
   1.0876099e+03   6.7609933e+00
   1.7788101e+03   6.7539000e+00
   2.1552613e+03   6.6056325e+00
   2.7843056e+03   6.7724623e+00
   3.1639327e+03   7.4328264e+00
   3.7638273e+03   8.1775726e+00
   4.0800508e+03   8.6941831e+00
   4.4599047e+03   9.4123066e+00
   4.9024815e+03   1.0100906e+01
   5.5978784e+03   1.1162361e+01
   6.1029513e+03   1.1763676e+01
   6.6081377e+03   1.2393871e+01
   7.4588108e+03   1.2991639e+01
   8.5298649e+03   1.3702670e+01
   9.3792903e+03   1.3982761e+01
   1.0134348e+04   1.4234941e+01
   1.0794470e+04   1.4314809e+01
   1.2051992e+04   1.4504070e+01
   1.2806028e+04   1.4496332e+01
   1.3748574e+04   1.4486659e+01
   1.4691120e+04   1.4476987e+01
   1.5759452e+04   1.4494904e+01
   1.6419914e+04   1.4661411e+01
   1.7017767e+04   1.4886323e+01
   1.7332403e+04   1.4998618e+01
